date, cpi_med, cpi_avg, cpi_actual, cpi_prior
2016-08-16,0.9,0.9,0.8,1
2016-07-15,1.1,1.1,1,1
2016-06-16,1.1,1.1,1,1.1
2016-05-17,1.1,1.1,1.1,0.9
2016-04-14,1,1.1,0.9,1
2016-03-16,0.9,0.9,1,1.4
2016-02-19,1.3,1.3,1.4,0.7
2016-01-20,0.8,0.8,0.7,0.5
2015-12-15,0.4,0.5,0.5,0.2
2015-11-17,0.1,0.1,0.2,0
2015-10-15,-0.1,-0.1,0,0.2
2015-09-16,0.2,0.2,0.2,0.2
2015-08-19,0.2,0.2,0.2,0.1
2015-07-17,0.1,0.2,0.1,0
2015-06-18,0.1,0.1,0,-0.2
2015-05-22,-0.2,-0.2,-0.2,-0.1
2015-04-17,0,0,-0.1,0
2015-03-24,-0.1,-0.1,0,-0.1
2015-02-26,-0.1,-0.1,-0.1,0.8
2015-01-16,0.7,0.7,0.8,1.3
2014-12-17,1.4,1.4,1.3,1.7
2014-11-20,1.6,1.6,1.7,1.7
2014-10-22,1.6,1.6,1.7,1.7
2014-09-17,1.9,1.9,1.7,2
2014-08-19,2,2,2,2.1
2014-07-22,2.1,2.1,2.1,2.1
2014-06-17,2,2,2.1,2
2014-05-15,2,2,2,1.5
2014-04-15,1.4,1.5,1.5,1.1
2014-03-18,1.2,1.2,1.1,1.6
2014-02-20,1.6,1.6,1.6,1.5
2014-01-16,1.5,1.5,1.5,1.2
2013-12-17,1.3,1.2,1.2,1
2013-11-20,1,1,1,1.2
2013-10-30,1.2,1.2,1.2,1.5
2013-09-17,1.6,1.6,1.5,2
2013-08-15,2,2,2,1.8
2013-07-16,1.6,1.6,1.8,1.4
2013-06-18,1.4,1.4,1.4,1.1
2013-05-16,1.3,1.3,1.1,1.5
2013-04-16,1.6,1.7,1.5,2
2013-03-15,1.9,1.9,2,1.6
2013-02-21,1.6,1.6,1.6,1.7
2013-01-16,1.8,1.8,1.7,1.8
2012-12-14,1.9,1.9,1.8,2.2
2012-11-15,2.1,2.1,2.2,2
2012-10-16,1.9,1.9,2,1.7
2012-09-14,1.7,1.7,1.7,1.4
2012-08-15,1.6,1.6,1.4,1.7
2012-07-17,1.6,1.6,1.7,1.7
2012-06-14,1.8,1.8,1.7,2.3
2012-05-15,2.3,2.3,2.3,2.7
2012-04-13,2.7,2.7,2.7,2.9
2012-03-16,2.9,2.9,2.9,2.9
2012-02-17,2.9,2.8,2.9,3
2012-01-19,3,3,3,3.4
2011-12-16,3.5,3.5,3.4,3.5
2011-11-16,3.7,3.7,3.5,3.9
2011-10-19,3.9,3.8,3.9,3.8
2011-09-15,3.6,3.6,3.8,3.6
2011-08-18,3.3,3.4,3.6,3.6
2011-07-15,3.6,3.6,3.6,3.6
2011-06-15,3.4,3.4,3.6,3.2
2011-05-13,3.1,3.1,3.2,2.7
2011-04-15,2.6,2.6,2.7,2.1
2011-03-17,2,2,2.1,1.6
2011-02-17,1.6,1.6,1.6,1.5
2011-01-14,1.3,1.4,1.5,1.1
2010-12-15,1.1,1.1,1.1,1.2
2010-11-17,1.3,1.2,1.2,1.1
2010-10-15,1.2,1.2,1.1,1.1
2010-09-17,1.1,1.1,1.1,1.2
2010-08-13,1.2,1.2,1.2,1.1
2010-07-16,1.2,1.2,1.1,2
2010-06-17,2,2,2,2.2
2010-05-19,2.4,2.4,2.2,2.3
2010-04-14,2.4,2.4,2.3,2.1
2010-03-18,2.3,2.3,2.1,2.6
2010-02-19,2.8,2.7,2.6,
