date, jobless_med, jobless_avg, jobless_actual, jobless_prior
2016-09-15,2150,2160.4,2143,2144
2016-09-08,2150.5,2137.5,2144,2143
2016-09-01,2145,2159.6,2143,2145
2016-08-25,2155,2157.9,2145,2143
2016-08-18,2145,2149.1,2143,2155
2016-08-11,2132.5,2131.8,2155,2143
2016-08-04,2129.5,2138.6,2143,2139
2016-07-28,2136,2133.9,2139,2143
2016-07-21,2137,2127.5,2143,2149
2016-07-14,2130,2161.2,2149,2143
2016-07-07,2120,2109.3,2143,2120
2016-06-30,2151,2153.9,2120,2143
2016-06-23,2150,2133.6,2143,2157
2016-06-16,2140,2143.4,2157,2143
2016-06-09,2170.5,2162.8,2143,2172
2016-06-02,2150,2159.8,2172,2143
2016-05-26,2142,2146,2143,2152
2016-05-19,2157.5,2155.9,2152,2143
2016-05-12,2120,2122.5,2143,2121
2016-05-05,2127.5,2135.4,2121,2143
2016-04-28,2136,2144.5,2143,2137
2016-04-21,2173,2172,2137,2143
2016-04-14,2183,2186.4,2143,2191
2016-04-07,2170,2168,2191,2143
2016-03-31,2199.5,2203.2,2143,2179
2016-03-24,2234.5,2230.2,2179,2143
2016-03-17,2235,2234.3,2143,2225
2016-03-10,2250,2283.3,2225,2143
2016-03-03,2250,2240.3,2143,2253
2016-02-25,2253,2261.7,2253,2143
2016-02-18,2250,2248.9,2143,2239
2016-02-11,2245,2244.8,2239,2143
2016-02-04,2240,2235.7,2143,2268
2016-01-28,2217.5,2211.7,2268,2143
2016-01-21,2246.5,2240.5,2143,2263
2016-01-14,2210,2222.2,2263,2143
2016-01-07,2200,2193,2143,2198
2015-12-31,2190,2195.5,2198,2143
2015-12-24,2200,2196.1,2143,2238
2015-12-17,2200,2207.8,2238,2143
2015-12-10,2155,2165.4,2143,2161
2015-12-03,2190,2188.8,2161,2143
2015-11-25,2160.5,2152.2,2143,2175
2015-11-19,2167,2160.6,2175,2143
2015-11-12,2155,2157,2143,2163
2015-11-05,2140,2139.2,2163,2143
2015-10-29,2160,2161.9,2143,2170
2015-10-22,2185.5,2199.7,2170,2143
2015-10-15,2200,2201.1,2143,2204
2015-10-08,2200,2196.4,2204,2143
2015-10-01,2230,2225.4,2143,2242
2015-09-24,2240,2250.1,2242,2143
2015-09-17,2257.5,2264.2,2143,2260
2015-09-10,2252.5,2254.5,2260,2143
2015-09-03,2252.5,2250.7,2143,2269
2015-08-27,2248,2245.5,2269,2143
2015-08-20,2265,2266.1,2143,2273
2015-08-13,2245,2243.3,2273,2143
2015-08-06,2249,2248,2143,2262
2015-07-30,2205,2204.2,2262,2143
2015-07-23,2232.5,2233.3,2143,2215
2015-07-16,2300,2299.5,2215,2143
2015-07-09,2250,2267.2,2143,2264
2015-07-02,2236,2237.2,2264,2143
2015-06-25,2217.5,2222.1,2143,2222
2015-06-18,2210,2214,2222,2143
2015-06-11,2190,2192.6,2143,2196
2015-06-04,2207,2203.5,2196,2143
2015-05-28,2200,2200.4,2143,2211
2015-05-21,2231,2230.6,2211,2143
2015-05-14,2231.5,2234.7,2143,2228
2015-05-07,2270,2264.6,2228,2143
2015-04-30,2300,2298.3,2143,2325
2015-04-23,2290,2292.4,2325,2143
2015-04-16,2322.5,2329.1,2143,2304
2015-04-09,2350,2349,2304,2143
2015-04-02,2405,2418.1,2143,2416
2015-03-26,2400,2397.2,2416,2143
2015-03-19,2400,2401.8,2143,2418
2015-03-12,2400,2400.3,2418,2143
