date, nfp_med, nfp_avg, nfp_actual, nfp_prior
2016-09-02,180,178,151,255
2016-08-05,180,179,255,287
2016-07-08,180,177,287,38
2016-06-03,160,161,38,160
2016-05-06,200,205,160,215
2016-04-01,205,202,215,242
2016-03-04,195,193,242,151
2016-02-05,190,193,151,292
2016-01-08,200,203,292,211
2015-12-04,200,201,211,271
2015-11-06,185,183,271,142
2015-10-02,200,202,142,173
2015-09-04,217,212,173,215
2015-08-07,225,222,215,223
2015-07-02,233,234,223,280
2015-06-05,226,226,280,223
2015-05-08,228,228,223,126
2015-04-03,245,245,126,295
2015-03-06,235,235,295,257
2015-02-06,228,229,257,252
2015-01-09,240,235,252,321
2014-12-05,230,229,321,214
2014-11-07,235,237,214,248
2014-10-03,215,216,248,142
2014-09-05,230,226,142,209
2014-08-01,230,232,209,288
2014-07-03,215,216,288,217
2014-06-06,215,215,217,288
2014-05-02,218,216,288,192
2014-04-04,200,206,192,175
2014-03-07,149,149,175,113
2014-02-07,180,181,113,74
2014-01-10,197,196,74,203
2013-12-06,185,183,203,204
2013-11-08,120,119,204,148
2013-10-22,180,180,148,169
2013-09-06,180,179,169,162
2013-08-02,185,184,162,195
2013-07-05,166,166,195,175
2013-06-07,163,164,175,165
2013-05-03,140,143,165,88
2013-04-05,190,190,88,236
2013-03-08,165,166,236,157
2013-02-01,165,164,157,155
2013-01-04,152,157,155,146
2012-12-07,85,86,146,171
2012-11-02,125,122,171,114
2012-10-05,115,115,114,96
2012-09-07,130,128,96,163
2012-08-03,100,101,163,80
2012-07-06,100,98,80,69
2012-06-01,150,149,69,115
2012-05-04,160,158,115,120
2012-04-06,205,208,120,227
2012-03-09,210,212,227,243
2012-02-03,140,146,243,200
2012-01-06,155,156,200,120
2011-12-02,125,127,120,80
2011-11-04,95,95,80,103
2011-10-07,60,56,103,0
2011-09-02,68,66,0,117
2011-08-05,85,84,117,18
2011-07-08,105,107,18,54
2011-06-03,165,158,54,244
2011-05-06,185,186,244,216
2011-04-01,190,196,216,192
2011-03-04,196,192,192,36
2011-02-04,146,143,36,103
2011-01-07,150,156,103,39
2010-12-03,150,146,39,151
2010-11-05,60,59,151,-95
2010-10-08,-5,-7,-95,-54
2010-09-03,-105,-98,-54,-131
2010-08-06,-65,-67,-131,-125
2010-07-02,-130,-121,-125,431
2010-06-04,536,526,431,290
2010-05-07,190,187,290,162
2010-04-02,184,178,162,-36
2010-03-05,-68,-60,-36,-20
2010-02-05,15,10,-20,
