date, unemp_med, unemp_avg, unemp_actual, unemp_prior
2016-09-02,4.8,4.8,4.9,4.9
2016-08-05,4.8,4.8,4.9,4.9
2016-07-08,4.8,4.8,4.9,4.7
2016-06-03,4.9,4.9,4.7,5
2016-05-06,4.9,4.9,5,5
2016-04-01,4.9,4.9,5,4.9
2016-03-04,4.9,4.9,4.9,4.9
2016-02-05,5,5,4.9,5
2016-01-08,5,5,5,5
2015-12-04,5,5,5,5
2015-11-06,5,5,5,5.1
2015-10-02,5.1,5.1,5.1,5.1
2015-09-04,5.2,5.2,5.1,5.3
2015-08-07,5.3,5.3,5.3,5.3
2015-07-02,5.4,5.4,5.3,5.5
2015-06-05,5.4,5.4,5.5,5.4
2015-05-08,5.4,5.4,5.4,5.5
2015-04-03,5.5,5.5,5.5,5.5
2015-03-06,5.6,5.6,5.5,5.7
2015-02-06,5.6,5.6,5.7,5.6
2015-01-09,5.7,5.7,5.6,5.8
2014-12-05,5.8,5.8,5.8,5.8
2014-11-07,5.9,5.9,5.8,5.9
2014-10-03,6.1,6.1,5.9,6.1
2014-09-05,6.1,6.1,6.1,6.2
2014-08-01,6.1,6.1,6.2,6.1
2014-07-03,6.3,6.3,6.1,6.3
2014-06-06,6.4,6.4,6.3,6.3
2014-05-02,6.6,6.6,6.3,6.7
2014-04-04,6.6,6.6,6.7,6.7
2014-03-07,6.6,6.6,6.7,6.6
2014-02-07,6.7,6.7,6.6,6.7
2014-01-10,7,7,6.7,7
2013-12-06,7.2,7.2,7,7.3
2013-11-08,7.3,7.4,7.3,7.2
2013-10-22,7.3,7.3,7.2,7.3
2013-09-06,7.4,7.4,7.3,7.4
2013-08-02,7.5,7.5,7.4,7.6
2013-07-05,7.5,7.5,7.6,7.6
2013-06-07,7.5,7.5,7.6,7.5
2013-05-03,7.6,7.6,7.5,7.6
2013-04-05,7.7,7.7,7.6,7.7
2013-03-08,7.9,7.9,7.7,7.9
2013-02-01,7.8,7.8,7.9,7.8
2013-01-04,7.7,7.7,7.8,7.7
2012-12-07,7.9,7.9,7.7,7.9
2012-11-02,7.9,7.9,7.9,7.8
2012-10-05,8.2,8.2,7.8,8.1
2012-09-07,8.3,8.3,8.1,8.3
2012-08-03,8.2,8.2,8.3,8.2
2012-07-06,8.2,8.2,8.2,8.2
2012-06-01,8.1,8.1,8.2,8.1
2012-05-04,8.2,8.2,8.1,8.2
2012-04-06,8.3,8.3,8.2,8.3
2012-03-09,8.3,8.3,8.3,8.3
2012-02-03,8.5,8.5,8.3,8.5
2012-01-06,8.7,8.7,8.5,8.6
2011-12-02,9,9,8.6,9
2011-11-04,9.1,9.1,9,9.1
2011-10-07,9.1,9.1,9.1,9.1
2011-09-02,9.1,9.1,9.1,9.1
2011-08-05,9.2,9.2,9.1,9.2
2011-07-08,9.1,9.1,9.2,9.1
2011-06-03,8.9,8.9,9.1,9
2011-05-06,8.8,8.8,9,8.8
2011-04-01,8.9,8.9,8.8,8.9
2011-03-04,9.1,9.1,8.9,9
2011-02-04,9.5,9.5,9,9.4
2011-01-07,9.7,9.7,9.4,9.8
2010-12-03,9.6,9.6,9.8,9.6
2010-11-05,9.6,9.6,9.6,9.6
2010-10-08,9.7,9.7,9.6,9.6
2010-09-03,9.6,9.6,9.6,9.5
2010-08-06,9.6,9.6,9.5,9.5
2010-07-02,9.8,9.8,9.5,9.7
2010-06-04,9.8,9.8,9.7,9.9
2010-05-07,9.7,9.7,9.9,9.7
2010-04-02,9.7,9.7,9.7,9.7
2010-03-05,9.8,9.8,9.7,9.7
