date,px
2014-07-31,1000
2014-08-01,1018.2027
2014-08-02,1008.7724
2014-08-03,1004.4165
2014-08-04,1004.9841
2014-08-05,998.0411
2014-08-06,999.8663
2014-08-07,1006.144
2014-08-08,1012.5056
2014-08-09,1006.8462
2014-08-10,1006.865
2014-08-11,980.9331
2014-08-12,970.5077
2014-08-13,930.4766
2014-08-14,862.7822
2014-08-15,843.5154
2014-08-16,891.0207
2014-08-17,846.5181
2014-08-18,786.4922
2014-08-19,829.4406
2014-08-20,880.5011
2014-08-21,882.2979
2014-08-22,882.5566
2014-08-23,849.4587
2014-08-24,869.3409
2014-08-25,855.7834
2014-08-26,872.9781
2014-08-27,872.5129
2014-08-28,866.2611
2014-08-29,868.4954
2014-08-30,857.5924
2014-08-31,820.8687
2014-09-01,814.2321
2014-09-02,810.9594
2014-09-03,811.6339
2014-09-04,836.8057
2014-09-05,822.1686
2014-09-06,826.1333
2014-09-07,822.7349
2014-09-08,806.7998
2014-09-09,808.113
2014-09-10,817.4124
2014-09-11,816.5868
2014-09-12,812.1096
2014-09-13,816.6118
2014-09-14,816.7507
2014-09-15,813.2662
2014-09-16,796.4645
2014-09-17,785.3543
2014-09-18,733.2342
2014-09-19,680.2145
2014-09-20,706.2805
2014-09-21,685.1786
2014-09-22,688.7219
2014-09-23,746.7688
2014-09-24,725.9929
2014-09-25,704.7672
2014-09-26,696.8118
2014-09-27,688.1427
2014-09-28,653.2935
2014-09-29,646.2271
2014-09-30,669.9979
2014-10-01,659.2524
2014-10-02,644.0672
2014-10-03,618.4117
2014-10-04,570.657
2014-10-05,565.2825
2014-10-06,571.0504
2014-10-07,576.0868
2014-10-08,611.7703
2014-10-09,620.1448
2014-10-10,618.2749
2014-10-11,621.4034
2014-10-12,645.907
2014-10-13,666.8306
2014-10-14,685.7847
2014-10-15,674.9876
2014-10-16,653.4982
2014-10-17,654.9048
2014-10-18,669.6545
2014-10-19,665.5178
2014-10-20,653.6735
2014-10-21,659.4482
2014-10-22,654.9218
2014-10-23,615.3887
2014-10-24,612.4064
2014-10-25,598.7981
2014-10-26,603.3437
2014-10-27,601.4677
2014-10-28,606.3573
2014-10-29,575.3415
2014-10-30,592.5156
2014-10-31,580.3094
2014-11-01,557.8958
2014-11-02,558.5353
2014-11-03,559.2707
2014-11-04,565.9783
2014-11-05,582.6368
2014-11-06,599.3464
2014-11-07,588.3053
2014-11-08,594.1751
2014-11-09,626.2962
2014-11-10,626.2882
2014-11-11,630.0576
2014-11-12,718.114
2014-11-13,711.3083
2014-11-14,679.0342
2014-11-15,648.8646
2014-11-16,666.4636
2014-11-17,661.9371
2014-11-18,644.9535
2014-11-19,648.8958
2014-11-20,614.6709
2014-11-21,607.4609
2014-11-22,614.5738
2014-11-23,643.7447
2014-11-24,661.4149
2014-11-25,661.2065
2014-11-26,649.6113
2014-11-27,664.4237
2014-11-28,682.6897
2014-11-29,676.353
2014-11-30,668.564
2014-12-01,678.7496
2014-12-02,684.5401
2014-12-03,673.0133
2014-12-04,663.8817
2014-12-05,679.104
2014-12-06,677.0738
2014-12-07,679.855
2014-12-08,652.3533
2014-12-09,640.4168
2014-12-10,636.9237
2014-12-11,639.1005
2014-12-12,647.1639
2014-12-13,642.3925
2014-12-14,647.4933
2014-12-15,641.5541
2014-12-16,627.0666
2014-12-17,626.3929
2014-12-18,620.4296
2014-12-19,617.5576
2014-12-20,633.4641
2014-12-21,618.1922
2014-12-22,646.6063
2014-12-23,647.3111
2014-12-24,625.4375
2014-12-25,622.0424
2014-12-26,642.5149
2014-12-27,615.8978
2014-12-28,617.5943
2014-12-29,613.2031
2014-12-30,608.6274
2014-12-31,621.4957
