date,px,vol
2014-03-20,0.00000122,527602.45761611
2014-03-21,0.00000121,1021439.1470529798
2014-03-22,0.00000119,904465.8189050902
2014-03-23,0.00000125,1509856.00120645
2014-03-24,0.00000112,1932163.2849184303
2014-03-25,0.00000112,436830.92889639
2014-03-26,0.00000101,1268577.7598371105
2014-03-27,0.00000105,1569232.3619579696
2014-03-28,0.00000103,1132527.6222366302
2014-03-29,0.00000128,2027776.5311840605
2014-03-30,0.00000115,1457118.88413999
2014-03-31,0.00000111,1702510.9896524998
2014-04-01,0.00000109,998946.2272318098
2014-04-02,0.00000105,800054.16361469
2014-04-03,0.000001,2080086.053668509
2014-04-04,0.00000103,1705681.1313465394
2014-04-05,0.00000101,1317923.9549622799
2014-04-06,0.000001,1458800.9290513294
2014-04-07,0.00000101,1271038.7476021599
2014-04-08,0.000001,1264509.3617187499
2014-04-09,0.00000101,1310524.91429308
2014-04-10,0.00000093,2054507.8774155406
2014-04-11,0.00000122,2595460.8376758187
2014-04-12,0.00000099,919194.0859848498
2014-04-13,0.00000094,1155368.7702114203
2014-04-14,0.00000096,1064420.4475093393
2014-04-15,0.00000108,1357791.85128555
2014-04-16,0.0000013,2255866.5817536595
2014-04-17,0.00000128,2903976.5747605
2014-04-18,0.00000129,775670.19927333
2014-04-19,0.00000129,1106984.9809277002
2014-04-20,0.00000123,1030565.0811659499
2014-04-21,0.0000012,2103718.7323175794
2014-04-22,0.00000116,1070744.11668477
2014-04-23,0.00000121,2130235.9707285203
2014-04-24,0.00000118,2106140.7473657303
2014-04-25,0.00000108,5209793.532053312
2014-04-26,0.00000104,2568605.003155811
2014-04-27,0.00000105,1614944.0454323695
2014-04-28,0.00000112,2741306.8207250107
2014-04-29,0.00000113,3330788.0501493397
2014-04-30,0.00000114,1638510.0794920002
2014-05-01,0.00000107,1495961.408745711
2014-05-02,0.0000011,702260.1676679599
2014-05-04,0.00000107,3424397.7459505405
2014-05-05,0.00000104,2224932.3487341693
2014-05-06,0.00000107,1121276.88145261
2014-05-07,0.00000106,1120171.33177677
2014-05-08,0.00000107,1376501.8082977396
2014-05-09,0.00000109,1589751.3319558497
2014-05-10,0.00000108,1729140.9365818908
2014-05-11,0.00000103,777847.5854937498
2014-05-12,0.00000102,3001295.7234387775
2014-05-13,0.00000101,1711644.3172140997
2014-05-14,0.00000102,997656.04688587
2014-05-15,0.00000101,1020731.5852456
2014-05-16,0.00000099,2115228.8649022495
2014-05-17,0.000001,1314358.1235203699
2014-05-18,0.000001,1426774.2627996402
2014-05-19,0.00000097,1820858.4128126
2014-05-20,0.00000097,2705439.36058007
2014-05-21,0.00000091,1623874.91408396
2014-05-22,0.00000079,4082477.850059181
2014-05-23,0.00000076,4054566.5918180402
2014-05-24,0.00000081,2102191.0178512596
2014-05-25,0.00000073,1644375.7587830394
2014-05-26,0.00000061,2168415.1988289496
2014-05-27,0.00000068,4602129.199398009
2014-05-28,0.00000072,14445052.531405736
2014-05-29,0.0000007,1175986.0521341497
2014-05-30,0.0000006,3713060.4979795804
2014-05-31,0.00000053,1133536.84684551
2014-06-01,0.00000064,3369835.05941479
2014-06-02,0.00000059,3694844.0366085693
2014-06-03,0.00000058,1556128.3263422798
2014-06-04,0.00000056,791654.2894208702
2014-06-05,0.00000053,3125961.862564561
2014-06-06,0.00000055,3898200.2932713004
2014-06-07,0.00000055,1757474.8124799302
2014-06-08,0.00000055,1900551.65230147
2014-06-09,0.00000055,2326872.08181715
2014-06-10,0.00000057,3917334.7716492587
2014-06-11,0.00000068,3341955.809895989
2014-06-12,0.00000062,3056134.118475339
2014-06-13,0.00000063,883577.9058230503
2014-06-14,0.00000065,1178502.2492916603
2014-06-15,0.00000062,2163272.3074587905
2014-06-16,0.00000064,2342747.401257039
2014-06-17,0.0000006,1683846.7584714398
2014-06-18,0.00000058,4214655.691303738
2014-06-19,0.00000059,1871930.534437492
2014-06-20,0.00000058,1607267.2684637087
2014-06-21,0.00000058,2575389.028395398
2014-06-22,0.00000055,1938921.24705424
2014-06-23,0.00000054,2981210.2612115396
2014-06-24,0.00000051,898832.0211840401
2014-06-25,0.00000047,2498065.887849391
2014-06-26,0.00000049,1958366.8115220696
2014-06-27,0.0000005,2630658.2973633
2014-06-28,0.00000046,2981797.491446
2014-06-29,0.00000043,972968.38730824
2014-06-30,0.00000043,2872967.411864782
2014-07-01,0.0000004,3552096.0396143696
2014-07-02,0.00000035,2097650.77017169
2014-07-03,0.00000035,3835397.8378747413
2014-07-04,0.00000038,4017476.7142935004
2014-07-05,0.00000036,2125198.48288703
2014-07-06,0.00000038,748375.3065911898
2014-07-07,0.00000036,2444925.5708278706
2014-07-08,0.00000042,4033318.9371849517
2014-07-09,0.00000044,2118662.96005145
2014-07-10,0.00000043,1037981.90485787
2014-07-11,0.00000042,3990004.0451184204
2014-07-12,0.00000043,845669.9304325201
2014-07-13,0.00000043,612720.6187228301
2014-07-14,0.0000004,1477310.3974639599
2014-07-15,0.00000041,2174347.1748922993
2014-07-16,0.00000039,3836600.4855034
2014-07-17,0.00000041,852128.0559788699
2014-07-18,0.00000039,2031223.3175732503
2014-07-19,0.00000044,1546668.13520463
2014-07-20,0.00000039,248250.45424266002
2014-07-21,0.00000039,2935350.36486198
2014-07-22,0.00000035,1198763.9256973204
2014-07-23,0.00000036,1945664.71570822
2014-07-24,0.00000036,1839518.4827151801
2014-07-25,0.00000035,1372781.7984869203
2014-07-26,0.00000037,1733510.21665392
2014-07-27,0.00000036,1333899.01641316
2014-07-28,0.00000035,2356649.46636262
2014-07-29,0.00000035,470527.3169570001
2014-07-30,0.00000035,483416.31692879
2014-07-31,0.00000035,2381131.81862695
2014-08-01,0.00000035,916979.0330523902
2014-08-02,0.00000035,1092599.89999385
2014-08-03,0.00000034,1302741.7073058696
2014-08-04,0.00000035,399160.9202459
2014-08-05,0.00000031,2764671.4159749113
2014-08-06,0.00000031,915514.98162115
2014-08-07,0.00000031,1731480.4104676796
2014-08-08,0.00000028,2142999.14060154
2014-08-09,0.00000028,1133743.8775148299
2014-08-10,0.00000028,1100235.56435721
2014-08-11,0.00000026,1758084.5515393
2014-08-12,0.00000026,5208312.780991798
2014-08-13,0.00000028,643856.52464184
2014-08-14,0.00000027,640220.53455153
2014-08-15,0.00000025,11471980.649540575
2014-08-16,0.00000025,1369517.4830322603
2014-08-17,0.00000024,1844839.5779912695
2014-08-18,0.00000024,1600289.2536597499
2014-08-19,0.00000025,1800175.1913782205
2014-08-20,0.00000026,1255607.58015126
2014-08-21,0.00000026,1418165.03503175
2014-08-22,0.00000025,1572583.4557289
2014-08-23,0.00000024,1550269.4144209903
2014-08-24,0.00000026,2298099.1056613903
2014-08-25,0.00000023,4668198.088983101
2014-08-26,0.0000003,3513913.51271516
2014-08-27,0.00000028,1208428.1302127196
2014-08-28,0.00000027,1927678.8598924999
2014-08-29,0.00000025,4522675.782132101
2014-08-30,0.00000027,4529022.416617037
2014-08-31,0.00000027,2041748.4812672394
2014-09-01,0.00000026,1925477.3658971502
2014-09-02,0.00000028,2051485.28673377
