date,px,vol
2014-03-23,0.00000131,7110
2014-03-24,0.0000013,242093.68869538998
2014-03-25,0.00000113,17071.563856530003
2014-03-26,0.00000106,116162.03775500998
2014-03-27,0.0000011,289145.90834131
2014-03-28,0.00000123,170046.87083044
2014-03-29,0.00000112,118222.32398884003
2014-03-30,0.00000112,399504.68372011004
2014-03-31,0.00000111,339919.16762115
2014-04-01,0.00000111,591745.04948194
2014-04-02,0.00000118,393959.66717331985
2014-04-03,0.00000108,503666.03394951
2014-04-04,0.00000106,605181.10510393
2014-04-05,0.00000096,157994.67929307002
2014-04-06,0.00000099,90421.59856025001
2014-04-07,0.00000102,151882.80290312995
2014-04-08,0.000001,398822.900331
2014-04-09,0.000001,691264.56714433
2014-04-10,0.00000093,2050006.9453793103
2014-04-11,0.00000105,948114.2303042999
2014-04-12,0.000001,755632.2900838502
2014-04-13,0.00000095,1303725.4898234701
2014-04-14,0.00000102,989406.6098538
2014-04-15,0.00000106,882893.8171792199
2014-04-16,0.00000121,690304.5545454599
2014-04-17,0.00000126,1697393.3116149702
2014-04-18,0.0000012,884232.48587176
2014-04-19,0.00000134,2099358.16265623
2014-04-20,0.0000013,1163807.4251119401
2014-04-21,0.00000121,572178.20034535
2014-04-22,0.0000012,3174527.85595851
2014-04-23,0.00000117,1196478.33652136
2014-04-24,0.00000112,1169706.0981563798
2014-04-25,0.00000107,499101.37861022004
2014-04-26,0.00000102,562627.5437321699
2014-04-27,0.00000109,286493.57149645005
2014-04-28,0.00000106,1227080.05354841
2014-04-29,0.00000116,640178.3838840601
2014-04-30,0.0000011,321141.65002481994
2014-05-01,0.00000111,1116374.5670362401
2014-05-02,0.0000011,1721028.5254284097
2014-05-03,0.00000108,321523.56496104004
2014-05-04,0.00000107,1197714.4542306103
2014-05-05,0.00000102,1569750.67281291
2014-05-06,0.00000103,1739507.8082926203
2014-05-07,0.00000108,366928.1536685501
2014-05-08,0.00000106,1250157.3334521705
2014-05-09,0.00000108,907386.4984525002
2014-05-10,0.00000105,749809.1471932003
2014-05-11,0.00000106,783252.6876099798
2014-05-12,0.00000105,2331604.8371515707
2014-05-13,0.00000102,1463809.1907364002
2014-05-14,0.00000101,1442663.6978639204
2014-05-15,0.00000104,1227280.4695390598
2014-05-16,0.0000009,946113.89972233
2014-05-17,0.00000101,303992.58306979993
2014-05-18,0.000001,1515570.8359954709
2014-05-19,0.00000098,1499536.4870769707
2014-05-20,0.00000098,3384184.1337123895
2014-05-21,0.00000092,1877695.6649037502
2014-05-22,0.00000083,1650571.68348769
2014-05-23,0.0000008,2473495.647171261
2014-05-24,0.00000083,1286511.5184666396
2014-05-25,0.00000069,4363063.362471929
2014-05-26,0.00000067,4355367.411698401
2014-05-27,0.00000071,5740967.216336381
2014-05-28,0.00000067,3290335.0453818496
2014-05-29,0.0000007,4248387.338387472
2014-05-30,0.00000058,5053111.714099828
2014-05-31,0.00000051,3201669.5032462296
2014-06-01,0.00000063,4193065.595555169
2014-06-02,0.00000059,2270346.9024532097
2014-06-03,0.00000056,1601428.6162757701
2014-06-04,0.00000053,4280440.824498778
2014-06-05,0.00000054,6224738.257259912
2014-06-06,0.00000056,5742653.207773529
2014-06-07,0.00000055,4307514.801372918
2014-06-08,0.00000055,3671086.336901541
2014-06-09,0.00000055,4577343.382910041
2014-06-10,0.00000059,10621769.158054898
2014-06-11,0.00000064,6366113.702003582
2014-06-12,0.00000064,3841683.860548821
2014-06-13,0.00000065,5723559.143414662
2014-06-14,0.00000063,3783914.249712283
2014-06-15,0.00000063,5747841.873100298
2014-06-16,0.00000061,6589737.389689713
2014-06-17,0.00000059,4662116.166859789
2014-06-18,0.00000059,8505906.754434844
2014-06-19,0.00000058,4709015.776700981
2014-06-20,0.00000059,7557148.799135587
2014-06-21,0.00000057,7602630.791015911
2014-06-22,0.00000057,5517250.95315741
2014-06-23,0.00000054,10554810.572365303
2014-06-24,0.00000053,10787044.70786716
2014-06-25,0.00000047,6007758.500554129
2014-06-26,0.0000005,9172516.006476633
2014-06-27,0.00000049,3488755.3380150497
2014-06-28,0.00000047,7366997.41910427
2014-06-29,0.00000046,2501844.32155672
2014-06-30,0.00000041,8533102.682307793
2014-07-01,0.00000039,5764694.74914889
2014-07-02,0.00000035,6881399.80487728
2014-07-03,0.00000035,5623368.549449385
2014-07-04,0.00000039,7063229.995518541
2014-07-05,0.00000035,5620140.39111741
2014-07-06,0.00000036,6115589.830204131
2014-07-07,0.00000035,3790616.8967772797
2014-07-08,0.00000042,6873119.645527046
2014-07-09,0.00000046,15258383.115109086
2014-07-10,0.00000043,9529405.395958902
2014-07-11,0.00000043,4171594.4337560493
2014-07-12,0.00000043,5192625.854716697
