date,px,vol
2012-07-16,0.00651,153074.20865731
2012-07-17,0.00678,197771.1712021
2012-07-18,0.00573,255162.536444
2012-07-19,0.005499,164253.3306467
2012-07-20,0.005897,204249.25176133
2012-07-21,0.005601,48738.692787
2012-07-22,0.0059,103507.42369742
2012-07-23,0.00597,191041.45901
2012-07-24,0.00563,245737.64042261
2012-07-25,0.00539,301439.35248548
2012-07-26,0.005899,125836.89598211
2012-07-27,0.006303,321121.06120157
2012-07-28,0.00616,87697.77880842
2012-07-29,0.0067,164649.73142494
2012-07-30,0.00695,265642.5786582
2012-07-31,0.006998,138722.351214
2012-08-02,0.005704,162209.55252201
2012-08-03,0.00495,206881.83867494
2012-08-04,0.0044,362123.0200793
2012-08-05,0.00461,127076.16360661
2012-08-06,0.00442,155776.83705174
2012-08-07,0.00479,242070.8821955
2012-08-08,0.0048,240380.543957
2012-08-09,0.00446,247106.38427565
2012-08-10,0.00442,81749.1133246
2012-08-11,0.0045,58310.28062626
2012-08-12,0.00449,93177.759071
2012-08-13,0.00407,445758.39106528
2012-08-14,0.00385,139175.99787
2012-08-15,0.0028,367903.7232743
2012-08-16,0.0034,313298.294659
2012-08-17,0.0037,303855.5917457
2012-08-18,0.00399,206373.64339854
2012-08-19,0.0048,150846.840324
2012-08-20,0.00389,235853.1458805
2012-08-21,0.00395,71597.1931957
2012-08-22,0.00395,16783.49749325
2012-08-23,0.00394,48916.30230911
2012-08-24,0.00385,261729.735638
2012-08-25,0.00392,69104.730022
2012-08-26,0.00377,94827.7578479
2012-08-27,0.00361,160130.638411
2012-08-28,0.00368,43034.5624799
2012-08-29,0.00364,127649.76735
2012-08-30,0.00359,32149.4922291
2012-08-31,0.00386,133747.76105491
2012-09-01,0.00376,100133.6660835
2012-09-02,0.00373,109311.53174103
2012-09-03,0.00375,118488.0529114
2012-09-04,0.00378,56750.065015
2012-09-05,0.00345,145409.51633444
2012-09-06,0.00348,27088.30820809
2012-09-07,0.00353,25674.8334223
2012-09-08,0.00352,42896.835074
2012-09-09,0.00365,68150.804912
2012-09-10,0.00361,109049.043946
2012-09-11,0.00354,92164.083337
2012-09-12,0.00339,96638.9338458
2012-09-13,0.00268,405010.122518
2012-09-14,0.00299,76310.30391
2012-09-15,0.00309,98200.8334911
2012-09-16,0.00325,111911.4066397
2012-09-17,0.00324,221681.459537
2012-09-18,0.00331,92482.86682121
2012-09-19,0.00322,57363.90347612
2012-09-20,0.00319,65203.069128
2012-09-21,0.00328,48998.617877
2012-09-22,0.00341,87487.792444
2012-09-23,0.00348,158018.81782815
2012-09-24,0.00358,133674.3323801
2012-09-25,0.00356,101455.33445415
2012-09-26,0.00354,83839.30717
2012-09-27,0.00369,147126.433049
2012-09-28,0.00374,399514.77964943
2012-09-29,0.00383,45694.413757
2012-09-30,0.00397,100405.837106
2012-10-01,0.00402,141617.31729148
2012-10-02,0.00478,356900.53135115
2012-10-03,0.0045,223850.10014997
2012-10-04,0.00439,366152.57503038
2012-10-05,0.00432,130705.066653
2012-10-06,0.00439,123214.54779748
2012-10-07,0.00465,196007.3308477
2012-10-08,0.00534,353271.51690598
2012-10-09,0.00639,402840.44977397
2012-10-10,0.00654,341812.97337746
2012-10-11,0.00759,419950.91678656
2012-10-12,0.00738,1203079.7290111
2012-10-13,0.00695,488922.87903105
2012-10-14,0.00789,413947.54232973
2012-10-15,0.00784,755907.29030396
2012-10-16,0.00775,281255.53729367
2012-10-17,0.00778,128220.19069387
2012-10-18,0.00752,281567.723209
2012-10-19,0.00662,668984.7153645
2012-10-20,0.00733,657187.75336123
2012-10-21,0.00739,184387.216992
2012-10-22,0.00752,133162.666892
2012-10-23,0.00751,87901.2693382
2012-10-24,0.00738,125180.523537
2012-10-25,0.00742,216167.97046002
2012-10-26,0.00763,555569.12685158
2012-10-27,0.00794,151097.8181824
2012-10-28,0.0073,167839.7548523
2012-10-29,0.00751,73952.2043311
2012-10-30,0.00753,77559.14258
2012-10-31,0.00731,155627.1090278
2012-11-01,0.00739,321016.50642017
2012-11-02,0.00744,73259.76902723
2012-11-03,0.00741,57369.466517
2012-11-04,0.00709,172810.1604066
2012-11-05,0.00714,151489.909339
2012-11-06,0.007,141257.87302101
2012-11-07,0.00689,174430.05809589
2012-11-08,0.00699,58767.86241297
2012-11-09,0.00691,38164.56758795
2012-11-10,0.0066,100635.50356432
2012-11-11,0.0066,147761.52098482
2012-11-12,0.00608,291875.71574362
2012-11-13,0.00641,127145.87888313
2012-11-14,0.00637,43400.7271439
2012-11-15,0.00592,125375.17755443
2012-11-16,0.00535,196797.85519342
2012-11-17,0.00511,364631.60784233
2012-11-18,0.00541,170122.45927184
2012-11-19,0.00491,140457.43598952
2012-11-20,0.005,49002.786118
2012-11-21,0.00536,165505.86199251
2012-11-22,0.00502,110881.18332231
2012-11-23,0.00506,44020.47493067
2012-11-24,0.00517,196809.5947579
2012-11-25,0.00496,116994.206674
2012-11-26,0.00508,109514.845164
2012-11-27,0.00523,178368.22900295
2012-11-28,0.00567,275290.74308166
2012-11-29,0.00642,581303.12577618
2012-11-30,0.0068,274660.18586778
2012-12-01,0.0067,163371.4706089
2012-12-02,0.0064,120684.26421086
2012-12-03,0.00611,155450.1342237
2012-12-04,0.00583,132583.47722513
2012-12-05,0.00577,265535.82503741
2012-12-06,0.00597,144238.40293656
2012-12-07,0.00588,56127.09264321
2012-12-08,0.00595,72917.49046649
2012-12-09,0.00609,140816.13859822
2012-12-10,0.00596,59472.61319657
2012-12-11,0.00595,70365.80035507
2012-12-12,0.00596,47707.58172355
2012-12-13,0.00585,129272.23540776
2012-12-14,0.00579,141848.89295783
2012-12-15,0.00584,25584.486343
2012-12-16,0.0058,88865.99432566
2012-12-17,0.0059,201053.63051221
2012-12-18,0.00586,59030.717454
2012-12-19,0.00584,126743.58467562
2012-12-20,0.00587,87828.511504
2012-12-21,0.00592,104252.1117235
2012-12-22,0.0059,33395.07909615
2012-12-23,0.00589,77777.42992918
2012-12-24,0.00587,51216.8572951
2012-12-25,0.00584,73999.3133925
2012-12-26,0.00577,141879.36666383
2012-12-27,0.0057,83263.106271
2012-12-28,0.00564,46143.6208775
2012-12-29,0.00565,16017.212545
2012-12-30,0.00539,93054.14040137
2012-12-31,0.00536,80983.07123759
2013-01-01,0.0053,34637.755904
2013-01-02,0.00532,62970.882817
2013-01-03,0.00526,183087.57281129
