,date,mktrf,smb,hml,rf,umd
0,1926-07-01,0.001,-0.0024,-0.0028,9e-05,
1,1926-07-02,0.0045,-0.0032,-0.0008,9e-05,
2,1926-07-06,0.0017,0.0027,-0.0035,9e-05,
3,1926-07-07,0.0009,-0.0059,0.0003,9e-05,
4,1926-07-08,0.0021,-0.0036,0.0015,9e-05,
5,1926-07-09,-0.0071,0.0044,0.0056,9e-05,
6,1926-07-10,0.0062,-0.005,-0.0015,9e-05,
7,1926-07-12,0.0004,0.0003,0.0054,9e-05,
8,1926-07-13,0.0048,-0.0026,-0.0023,9e-05,
9,1926-07-14,0.0004,0.0009,-0.0048,9e-05,
10,1926-07-15,-0.0043,0.0054,-0.003,9e-05,
11,1926-07-16,0.0053,0.0001,-0.0057,9e-05,
12,1926-07-17,0.0034,0.0043,-0.0063,9e-05,
13,1926-07-19,-0.0001,0.0001,-0.0049,9e-05,
14,1926-07-20,-0.0057,-0.0023,0.0016,9e-05,
15,1926-07-21,-0.006,0.0021,0.0031,9e-05,
16,1926-07-22,-0.0073,-0.003,-0.0017,9e-05,
17,1926-07-23,-0.0002,0.0008,0.0006,9e-05,
18,1926-07-24,-0.0014,0.0044,-0.0006,9e-05,
19,1926-07-26,0.0053,-0.0038,-0.0025,9e-05,
20,1926-07-27,0.0043,-0.0045,0.0026,9e-05,
21,1926-07-28,0.0109,0.0004,-0.0028,9e-05,
22,1926-07-29,0.0036,-0.0061,-0.0101,9e-05,
23,1926-07-30,0.0014,-0.0047,0.0055,9e-05,
24,1926-07-31,0.0046,-0.0012,-0.0017,9e-05,
25,1926-08-02,0.0084,-0.0022,-0.0003,0.0001,
26,1926-08-03,0.0047,-0.0027,-0.006,0.0001,
27,1926-08-04,-0.0036,0.0016,0.0025,0.0001,
28,1926-08-05,-0.0009,0.0001,0.0073,0.0001,
29,1926-08-06,0.0068,0.0008,0.0016,0.0001,
30,1926-08-07,0.0046,0.0008,-0.0024,0.0001,
31,1926-08-09,0.0021,-0.0004,-0.0026,0.0001,
32,1926-08-10,-0.014,0.0034,0.0021,0.0001,
33,1926-08-11,-0.0057,0.0021,0.0034,0.0001,
34,1926-08-12,0.0084,-0.0077,0.0042,0.0001,
35,1926-08-13,0.0058,-0.0085,0.0025,0.0001,
36,1926-08-14,0.0069,0.0015,-0.0036,0.0001,
37,1926-08-16,0.0007,0.0023,0.007,0.0001,
38,1926-08-17,-0.0095,0.0034,0.0016,0.0001,
39,1926-08-18,0.0026,0.0008,0.0004,0.0001,
40,1926-08-19,-0.006,0.0012,0.001,0.0001,
41,1926-08-20,-0.002,-0.0036,0.0042,0.0001,
42,1926-08-21,0.0032,-0.0006,0.0049,0.0001,
43,1926-08-23,0.0049,-0.0048,0.0062,0.0001,
44,1926-08-24,-0.0084,0.005,-0.0009,0.0001,
45,1926-08-25,-0.0032,-0.0043,0.0028,0.0001,
46,1926-08-26,0.0053,0.0009,0.005,0.0001,
47,1926-08-27,0.0035,0.0013,-0.0039,0.0001,
48,1926-08-28,0.0034,0.0015,-0.0006,0.0001,
49,1926-08-30,0.003,0.0,0.0042,0.0001,
50,1926-08-31,0.0058,-0.0052,-0.0004,0.0001,
51,1926-09-01,0.0055,0.0052,-0.0008,9e-05,
52,1926-09-02,-0.0006,-0.0007,0.0021,9e-05,
53,1926-09-03,0.005,-0.003,0.0003,9e-05,
54,1926-09-07,0.0059,-0.0025,-0.0024,9e-05,
55,1926-09-08,-0.0051,-0.001,0.0008,9e-05,
56,1926-09-09,-0.0007,0.0016,0.0026,9e-05,
57,1926-09-10,-0.0083,0.0009,-0.0013,9e-05,
58,1926-09-11,-0.0044,0.0032,0.0013,9e-05,
59,1926-09-13,-0.0003,-0.0011,0.005,9e-05,
60,1926-09-14,0.009,-0.0062,0.0009,9e-05,
61,1926-09-15,-0.0021,0.004,-0.0019,9e-05,
62,1926-09-16,-0.0018,-0.0033,0.001,9e-05,
63,1926-09-17,-0.0101,-0.0016,-0.0028,9e-05,
64,1926-09-18,0.007,-0.0028,-0.0011,9e-05,
65,1926-09-20,-0.0064,0.0003,-0.0001,9e-05,
66,1926-09-21,0.003,-0.0042,0.0019,9e-05,
67,1926-09-22,-0.0013,0.0005,-0.0001,9e-05,
68,1926-09-23,0.0026,-0.0016,0.0006,9e-05,
69,1926-09-24,0.0062,-0.0019,-0.0003,9e-05,
70,1926-09-25,0.0021,0.0002,-0.0056,9e-05,
71,1926-09-27,-0.0012,0.0014,0.0039,9e-05,
72,1926-09-28,0.0,-0.0002,-0.0035,9e-05,
73,1926-09-29,-0.003,0.0022,-0.0019,9e-05,
74,1926-09-30,0.003,-0.0022,0.0006,9e-05,
75,1926-10-01,0.0073,-0.0027,-0.0023,0.00013,
76,1926-10-02,-0.001,-0.0002,-0.0008,0.00013,
77,1926-10-04,-0.014,-0.001,-0.001,0.00013,
78,1926-10-05,-0.011,0.0044,-0.0072,0.00013,
79,1926-10-06,-0.0056,-0.0069,-0.0028,0.00013,
80,1926-10-07,-0.0077,0.0032,0.003,0.00013,
81,1926-10-08,0.0059,-0.0036,0.0058,0.00013,
82,1926-10-09,-0.0096,0.0044,-0.0005,0.00013,
83,1926-10-11,-0.0069,-0.0008,-0.0016,0.00013,
84,1926-10-13,0.0069,-0.0031,-0.0004,0.00013,
85,1926-10-14,0.0097,-0.0047,0.0108,0.00013,
86,1926-10-15,-0.0183,0.0013,-0.0029,0.00013,
87,1926-10-16,-0.0073,-0.0034,0.0042,0.00013,
88,1926-10-18,0.007,-0.0016,0.0046,0.00013,
89,1926-10-19,-0.0106,0.004,-0.0054,0.00013,
90,1926-10-20,-0.0025,-0.0059,-0.0117,0.00013,
91,1926-10-21,0.0153,-0.0012,0.0055,0.00013,
92,1926-10-22,-0.004,0.0044,0.002,0.00013,
93,1926-10-23,0.0054,0.005,0.0019,0.00013,
94,1926-10-25,-0.001,0.0035,-0.0003,0.00013,
95,1926-10-26,0.0032,0.0002,0.003,0.00013,
96,1926-10-27,0.01,-0.0047,0.0019,0.00013,
97,1926-10-28,-0.0008,0.0069,0.002,0.00013,
98,1926-10-29,-0.0006,0.0001,-0.0033,0.00013,
99,1926-10-30,-0.0025,0.002,0.0025,0.00013,
100,1926-11-01,0.0046,-0.0011,-0.0043,0.00013,
101,1926-11-03,0.002,-0.0024,-0.0028,0.00013,0.0057
102,1926-11-04,0.0059,-0.0015,0.0069,0.00013,-0.0052
103,1926-11-05,0.0007,-0.0009,0.0023,0.00013,0.0115
104,1926-11-06,0.0016,-0.0029,0.0005,0.00013,-0.0004
105,1926-11-08,0.0052,-0.0007,0.0008,0.00013,-0.0001
106,1926-11-09,0.0013,0.0029,-0.0049,0.00013,0.0017
107,1926-11-10,-0.006,0.0015,0.0009,0.00013,0.0028
108,1926-11-11,0.0067,0.0003,0.0009,0.00013,-0.0093
109,1926-11-12,0.0024,-0.0003,-0.0037,0.00013,-0.0031
110,1926-11-13,-0.0024,0.0012,-0.0016,0.00013,0.0039
111,1926-11-15,0.0037,0.0028,-0.0025,0.00013,-0.0006
112,1926-11-16,0.0015,-0.0031,-0.0006,0.00013,-0.0006
113,1926-11-17,-0.0035,-0.0035,0.0046,0.00013,0.0012
114,1926-11-18,-0.0048,0.0017,0.002,0.00013,0.0053
115,1926-11-19,-0.0064,0.0056,0.0007,0.00013,0.0023
116,1926-11-20,0.004,0.0001,0.0012,0.00013,-0.0033
117,1926-11-22,0.0057,0.0016,-0.002,0.00013,-0.0011
118,1926-11-23,0.0033,0.0002,0.002,0.00013,0.0054
119,1926-11-24,0.0008,-0.0022,0.002,0.00013,-0.0042
120,1926-11-26,0.002,-0.0002,0.0003,0.00013,-0.0021
121,1926-11-27,-0.0015,-0.0004,-0.0028,0.00013,0.0037
122,1926-11-29,-0.0037,-0.0013,0.0006,0.00013,-0.0009
123,1926-11-30,0.0026,0.0003,-0.005,0.00013,0.0016
124,1926-12-01,0.0036,0.0005,-0.0034,0.00011,-0.0009
125,1926-12-02,0.0051,-0.0001,0.001,0.00011,-0.0005
126,1926-12-03,0.0032,-0.0005,0.0006,0.00011,-0.0052
127,1926-12-04,-0.0017,0.002,0.001,0.00011,0.0006
128,1926-12-06,0.0004,0.0032,-0.0037,0.00011,0.0018
129,1926-12-07,-0.0004,0.0034,-0.0051,0.00011,0.0027
130,1926-12-08,-0.0008,0.0021,0.0025,0.00011,0.0019
131,1926-12-09,0.0045,-0.0015,0.0044,0.00011,-0.0054
132,1926-12-10,0.0035,-0.0017,0.005,0.00011,0.0001
133,1926-12-11,0.0009,-0.001,-0.005,0.00011,-0.0048
134,1926-12-13,0.0042,0.0064,0.0,0.00011,-0.0077
135,1926-12-14,0.001,-0.0009,0.0014,0.00011,0.0059
136,1926-12-15,0.0017,-0.0022,0.0022,0.00011,-0.003
137,1926-12-16,-0.0063,-0.002,0.0005,0.00011,-0.0003
138,1926-12-17,0.0091,-0.0075,0.0068,0.00011,0.0011
139,1926-12-18,0.0042,-0.0022,0.002,0.00011,-0.0027
140,1926-12-20,-0.0031,0.0008,-0.0013,0.00011,0.0071
