date,px
2011-09-12,71.2653
2011-09-13,71.0111
2011-09-14,70.9847
2011-09-15,70.5314
2011-09-16,70.5980
2011-09-19,71.1191
2011-09-20,71.0208
2011-09-21,71.1584
2011-09-22,72.6951
2011-09-23,72.3855
2011-09-26,72.4871
2011-09-27,71.9025
2011-09-28,71.9497
2011-09-29,72.1896
2011-09-30,72.8115
2011-10-03,73.3181
2011-10-04,73.7676
2011-10-05,73.3171
2011-10-06,73.0694
2011-10-07,72.5042
2011-10-10,.
2011-10-11,72.0587
2011-10-12,71.4619
2011-10-13,71.7415
2011-10-14,71.2799
2011-10-17,71.4238
2011-10-18,71.6032
2011-10-19,71.3704
2011-10-20,71.8065
2011-10-21,70.8570
2011-10-24,70.5805
2011-10-25,70.7948
2011-10-26,70.9422
2011-10-27,69.7054
2011-10-28,69.7243
2011-10-31,70.4775
2011-11-01,71.8291
2011-11-02,71.3292
2011-11-03,71.4539
2011-11-04,71.5510
2011-11-07,71.5946
2011-11-08,71.3687
2011-11-09,71.9343
2011-11-10,71.9481
2011-11-11,.
2011-11-14,71.7963
2011-11-15,72.1885
2011-11-16,72.1979
2011-11-17,72.2023
2011-11-18,72.2811
2011-11-21,72.6345
2011-11-22,72.6768
2011-11-23,73.3833
2011-11-24,.
2011-11-25,73.6988
2011-11-28,73.1382
2011-11-29,72.9532
2011-11-30,72.3518
2011-12-01,72.2469
2011-12-02,72.5451
2011-12-05,72.2451
2011-12-06,72.4112
2011-12-07,72.3499
2011-12-08,72.7060
2011-12-09,72.6031
2011-12-12,73.2737
2011-12-13,73.5376
2011-12-14,74.2045
2011-12-15,73.8810
2011-12-16,73.8909
2011-12-19,73.9048
2011-12-20,73.4651
2011-12-21,73.6094
2011-12-22,73.4448
2011-12-23,73.4693
2011-12-26,.
2011-12-27,73.2937
2011-12-28,73.8239
2011-12-29,73.6923
2011-12-30,73.3470
2012-01-02,.
2012-01-03,72.8465
2012-01-04,73.2661
2012-01-05,73.9214
2012-01-06,74.1328
2012-01-09,74.1313
2012-01-10,73.7497
2012-01-11,74.1316
2012-01-12,73.7944
2012-01-13,74.2707
2012-01-16,.
2012-01-17,73.8109
2012-01-18,73.5973
2012-01-19,73.2586
2012-01-20,73.2610
2012-01-23,72.8838
2012-01-24,73.1472
2012-01-25,73.3283
2012-01-26,72.4413
2012-01-27,72.2777
2012-01-30,72.4196
2012-01-31,72.6142
2012-02-01,72.0859
2012-02-02,72.1239
2012-02-03,72.2494
2012-02-06,72.1964
2012-02-07,71.9492
2012-02-08,72.0041
2012-02-09,71.9184
2012-02-10,72.4143
2012-02-13,72.2748
2012-02-14,72.5872
2012-02-15,72.6363
2012-02-16,72.6371
2012-02-17,72.6593
2012-02-20,.
2012-02-21,72.4498
2012-02-22,72.6958
2012-02-23,72.4937
2012-02-24,72.1823
2012-02-27,72.2176
2012-02-28,72.0541
2012-02-29,72.1509
2012-03-01,72.2092
2012-03-02,72.6774
2012-03-05,72.7207
2012-03-06,73.1444
2012-03-07,73.0419
2012-03-08,72.6595
2012-03-09,73.1839
2012-03-12,73.1833
2012-03-13,73.1994
2012-03-14,73.6556
2012-03-15,73.4719
2012-03-16,73.1266
2012-03-19,72.8581
2012-03-20,73.1153
2012-03-21,73.1874
2012-03-22,73.2014
2012-03-23,72.9355
2012-03-26,72.6850
2012-03-27,72.7205
2012-03-28,72.9240
2012-03-29,72.9537
2012-03-30,72.7516
2012-04-02,72.5492
2012-04-03,72.5395
2012-04-04,73.2725
2012-04-05,73.3114
2012-04-06,73.2049
2012-04-09,73.1802
2012-04-10,73.3133
2012-04-11,73.2167
2012-04-12,72.8175
2012-04-13,73.1512
2012-04-16,73.2047
2012-04-17,72.7617
2012-04-18,72.8777
2012-04-19,72.9427
2012-04-20,72.6949
2012-04-23,72.9025
2012-04-24,72.6027
2012-04-25,72.5299
2012-04-26,72.3494
2012-04-27,72.1634
2012-04-30,72.2848
2012-05-01,72.2641
2012-05-02,72.5610
2012-05-03,72.5733
2012-05-04,72.8406
2012-05-07,72.8826
2012-05-08,73.1147
2012-05-09,73.2939
2012-05-10,73.3158
2012-05-11,73.2989
